gpus_per_domain,num_domains,seed,cap,dpu_bytes_per_us,c0_cycles,old_cycles,new_cycles,old_vs_c0_pct,new_vs_c0_pct,fixb_delta_pct
4,4,0,237,20500,392004,377508,362250,3.697921449781125,7.590228671136009,4.04176865126037
4,4,0,237,50000,392004,377508,377508,3.697921449781125,3.697921449781125,0.0
4,4,0,237,83900,392004,377508,377508,3.697921449781125,3.697921449781125,0.0
4,4,0,237,100000,392004,377508,377508,3.697921449781125,3.697921449781125,0.0
4,4,1,241,20500,399252,380178,363012,4.777433801208259,9.076973941270175,4.51525338131086
4,4,1,241,50000,399252,380178,380178,4.777433801208259,4.777433801208259,0.0
4,4,1,241,83900,399252,380178,380178,4.777433801208259,4.777433801208259,0.0
4,4,1,241,100000,399252,380178,380178,4.777433801208259,4.777433801208259,0.0
4,4,2,257,20500,422138,375601,339742,11.024120074478015,19.518735579360303,9.547099182377044
4,4,2,257,50000,422138,375601,375601,11.024120074478015,11.024120074478015,0.0
4,4,2,257,83900,422138,375601,375601,11.024120074478015,11.024120074478015,0.0
4,4,2,257,100000,422138,375601,375601,11.024120074478015,11.024120074478015,0.0
4,4,3,261,20500,339743,365300,339743,-7.52245079368817,0.0,6.996167533534082
4,4,3,261,50000,339743,365300,334021,-7.52245079368817,1.684214244296424,8.562551327675882
4,4,3,261,83900,339743,365300,365300,-7.52245079368817,-7.52245079368817,0.0
4,4,3,261,100000,339743,365300,326773,-7.52245079368817,3.8175915324230374,10.546673966602793
4,4,4,259,20500,390097,382848,361106,1.8582557671553486,7.431741336129219,5.679016215312605
4,4,4,259,50000,390097,382848,382848,1.8582557671553486,1.8582557671553486,0.0
4,4,4,259,83900,390097,382848,382848,1.8582557671553486,1.8582557671553486,0.0
4,4,4,259,100000,390097,382848,382848,1.8582557671553486,1.8582557671553486,0.0
4,4,5,266,20500,490805,397344,397344,19.042389543708804,19.042389543708804,0.0
4,4,5,266,50000,490805,397344,397344,19.042389543708804,19.042389543708804,0.0
4,4,5,266,83900,490805,397344,397344,19.042389543708804,19.042389543708804,0.0
4,4,5,266,100000,490805,397344,397344,19.042389543708804,19.042389543708804,0.0
2,8,0,120,20500,311131,337832,310368,-8.58191565610627,0.24523432252009603,8.12948447749177
2,8,0,120,50000,311131,337832,308842,-8.58191565610627,0.7357029675602881,8.58118828293353
2,8,0,120,83900,311131,337832,303502,-8.58191565610627,2.4520218171766874,10.161855596864713
2,8,0,120,100000,311131,337832,306171,-8.58191565610627,1.5941838003927606,9.37181794501409
2,8,1,123,20500,316089,337831,311130,-6.878442463989573,1.5688619344551693,7.903655969996833
2,8,1,123,50000,316089,337831,311130,-6.878442463989573,1.5688619344551693,7.903655969996833
2,8,1,123,83900,316089,337831,305409,-6.878442463989573,3.3787952127407155,9.597106245430407
2,8,1,123,100000,316089,337831,305409,-6.878442463989573,3.3787952127407155,9.597106245430407
2,8,2,121,20500,371404,350800,349661,5.547597764159783,5.854271897987098,0.32468643101482325
2,8,2,121,50000,371404,350800,326390,5.547597764159783,12.119955627833841,6.9583808437856325
2,8,2,121,83900,371404,350800,350418,5.547597764159783,5.6504507221246945,0.1088939566704675
2,8,2,121,100000,371404,350800,350418,5.547597764159783,5.6504507221246945,0.1088939566704675
2,8,3,122,20500,313038,334398,310368,-6.8234527437563495,0.8529315929695437,7.186047763443561
2,8,3,122,50000,313038,334398,310368,-6.8234527437563495,0.8529315929695437,7.186047763443561
2,8,3,122,83900,313038,334398,310750,-6.8234527437563495,0.7309016796682831,7.071812630458316
2,8,3,122,100000,313038,334398,310750,-6.8234527437563495,0.7309016796682831,7.071812630458316
2,8,4,125,20500,300451,336688,297781,-12.060868494363474,0.8886640417239416,11.555802404600104
2,8,4,125,50000,300451,336688,297781,-12.060868494363474,0.8886640417239416,11.555802404600104
2,8,4,125,83900,300451,336688,297781,-12.060868494363474,0.8886640417239416,11.555802404600104
2,8,4,125,100000,300451,336688,297781,-12.060868494363474,0.8886640417239416,11.555802404600104
2,8,5,133,20500,443118,381318,381318,13.946623698427958,13.946623698427958,0.0
2,8,5,133,50000,443118,381318,381318,13.946623698427958,13.946623698427958,0.0
2,8,5,133,83900,443118,381318,381318,13.946623698427958,13.946623698427958,0.0
2,8,5,133,100000,443118,381318,381318,13.946623698427958,13.946623698427958,0.0
